Sekce,Status,MD_odkaz,HTML_odkaz,Poznámka
Název nabídky,SHODA,"MD:3","HTML:1300;1782","Stejný produkt"
Hero claim,PŘEPSÁNO,"MD:1","HTML:1303-1304","Jiná formulace"
Datum a místo,SHODA,"MD:5;7;122;124","HTML:1325;1342;1848;1852","Obsahově sedí"
Problémové body,PŘEPSÁNO,"MD:15-23","HTML:1381;1390;1399;1408","Body přeformulované"
Co se stane když nic neuděláš,SHODA,"MD:33-37","HTML:1415-1421","Významově sedí"
3 pilíře,PŘEPSÁNO,"MD:41-73","HTML:1449-1486","Stejný koncept, jiný styl"
Proč Tereziiny lázničky,SHODA,"MD:77-83","HTML:1590-1595","Významově sedí"
Program,PŘEPSÁNO,"MD:87-112","HTML:1524-1583","Rozšířené formulace"
Průvodci,SHODA,"MD:114-118","HTML:1739-1760","Sedí"
Praktické informace,SHODA,"MD:120-130","HTML:1783;1816;1848;1856;1860","Sedí"
Video reference,SHODA,"MD:132-134","HTML:1614-1619","Placeholder přítomen"
Textové reference,NAVÍC V HTML,"-","HTML:1621-1633","2 citace navíc"
FAQ,NAVÍC V HTML,"-","HTML:1656-1708","Celá sekce navíc"
Finální odstavec,PŘEPSÁNO,"MD:138","HTML:1834-1838","Silně zkráceno"
Objednávka formulář,CHYBÍ V HTML,"MD kontext","HTML:1865-1868","Jen placeholder"
JSON-LD Event name,TECH CHYBA,"-","HTML:76","Přebývající uvozovka"
